state_abb,Not at all closely,Not very closely,Somewhat closely,Very closely,Error Margin,N,Wave
OK,7.6,9.1,28.7,54.6,5.8,486,9
OR,6.2,10.6,24.6,58.6,5.5,471,9
PA,8.3,9,26.9,55.8,5,511,9
RI,0.6,7.2,21.6,70.5,7.6,255,9
SC,4.1,5.8,28.1,62.1,5.7,451,9
SD,11.8,15.5,27.1,45.6,10.1,183,9
TN,5,10.8,28.2,55.9,5,496,9
TX,3.8,6,24.6,65.5,4.4,634,9
UT,6.9,12,30.5,50.6,7.6,271,9
VA,5,4.9,27.2,62.9,4.7,540,9
VT,2,9,31.8,57.2,10.8,129,9
WA,3.9,8,27.5,60.6,5.1,488,9
WI,7.4,7.8,30.9,54,5.4,449,9
WV,2.8,9.9,30.3,57,7.1,371,9
WY,12,16.4,32.2,39.5,11.1,141,9
