,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
253,2020-07-01 2020-07-31,Wisconsin,29.0,20.0,36.0,5.0,23.0
254,2020-07-01 2020-07-31,Wyoming,86.0,0.0,44.0,0.0,0.0
255,2020-08-01 2020-08-31,Alabama,0.0,25.0,68.0,23.0,18.0
256,2020-08-01 2020-08-31,Alaska,0.0,0.0,53.0,0.0,0.0
257,2020-08-01 2020-08-31,Arizona,25.0,28.0,43.0,44.0,0.0
258,2020-08-01 2020-08-31,Arkansas,20.0,0.0,81.0,28.0,32.0
259,2020-08-01 2020-08-31,California,15.0,14.0,34.0,46.0,13.0
260,2020-08-01 2020-08-31,Colorado,14.0,5.0,47.0,35.0,12.0
261,2020-08-01 2020-08-31,Connecticut,24.0,9.0,22.0,8.0,39.0
262,2020-08-01 2020-08-31,Delaware,0.0,36.0,42.0,0.0,0.0
263,2020-08-01 2020-08-31,District of Columbia,100.0,0.0,19.0,0.0,0.0
264,2020-08-01 2020-08-31,Florida,8.0,23.0,41.0,28.0,17.0
265,2020-08-01 2020-08-31,Georgia,18.0,8.0,41.0,21.0,30.0
266,2020-08-01 2020-08-31,Hawaii,37.0,55.0,50.0,26.0,0.0
267,2020-08-01 2020-08-31,Idaho,62.0,0.0,78.0,44.0,51.0
268,2020-08-01 2020-08-31,Illinois,16.0,15.0,55.0,33.0,21.0
269,2020-08-01 2020-08-31,Indiana,15.0,23.0,67.0,38.0,37.0
270,2020-08-01 2020-08-31,Iowa,17.0,0.0,52.0,0.0,0.0
271,2020-08-01 2020-08-31,Kansas,0.0,0.0,69.0,28.0,0.0
272,2020-08-01 2020-08-31,Kentucky,12.0,0.0,66.0,26.0,39.0
273,2020-08-01 2020-08-31,Louisiana,12.0,0.0,53.0,9.0,20.0
274,2020-08-01 2020-08-31,Maine,71.0,0.0,35.0,100.0,57.0
275,2020-08-01 2020-08-31,Maryland,14.0,10.0,42.0,20.0,23.0
276,2020-08-01 2020-08-31,Massachusetts,23.0,17.0,31.0,41.0,38.0
277,2020-08-01 2020-08-31,Michigan,24.0,4.0,59.0,38.0,31.0
278,2020-08-01 2020-08-31,Minnesota,17.0,12.0,51.0,41.0,27.0
279,2020-08-01 2020-08-31,Mississippi,0.0,0.0,43.0,15.0,0.0
280,2020-08-01 2020-08-31,Missouri,25.0,12.0,63.0,29.0,41.0
281,2020-08-01 2020-08-31,Montana,53.0,79.0,59.0,37.0,0.0
282,2020-08-01 2020-08-31,Nebraska,0.0,19.0,50.0,18.0,41.0
283,2020-08-01 2020-08-31,Nevada,15.0,11.0,51.0,52.0,48.0
