,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,state
2790,US_CO,STATE_WIDE,20201027,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,98733.0,2236.0,42.13,49.72,47.76,Colorado
2791,US_CO,STATE_WIDE,20201028,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,100208.0,2249.0,42.13,49.72,47.76,Colorado
2792,US_CO,STATE_WIDE,20201029,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,102014.0,2268.0,42.13,49.72,47.76,Colorado
2793,US_CO,STATE_WIDE,20201030,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,104426.0,2278.0,43.52,50.56,48.72,Colorado
2794,US_CO,STATE_WIDE,20201031,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,107350.0,2285.0,43.52,50.56,48.72,Colorado
2795,US_CO,STATE_WIDE,20201101,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,109910.0,2288.0,43.52,50.56,48.72,Colorado
2796,US_CO,STATE_WIDE,20201102,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,112147.0,2292.0,43.52,50.56,48.72,Colorado
2797,US_CO,STATE_WIDE,20201103,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,114709.0,2311.0,43.52,50.56,48.72,Colorado
2798,US_CO,STATE_WIDE,20201104,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,117637.0,2333.0,43.52,50.56,48.72,Colorado
2799,US_CO,STATE_WIDE,20201105,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,121006.0,2353.0,43.52,50.56,48.72,Colorado
2800,US_CO,STATE_WIDE,20201106,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,124469.0,2376.0,43.52,50.56,48.72,Colorado
2801,US_CO,STATE_WIDE,20201107,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,127967.0,2389.0,43.52,50.56,48.72,Colorado
2802,US_CO,STATE_WIDE,20201108,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,130984.0,2394.0,43.52,50.56,48.72,Colorado
2803,US_CO,STATE_WIDE,20201109,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,134537.0,2408.0,43.52,50.56,48.72,Colorado
2804,US_CO,STATE_WIDE,20201110,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,138427.0,2427.0,43.52,50.56,48.72,Colorado
2805,US_CO,STATE_WIDE,20201111,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,142402.0,2443.0,43.52,50.56,48.72,Colorado
2806,US_CO,STATE_WIDE,20201112,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,147599.0,2468.0,43.52,50.56,48.72,Colorado
2807,US_CO,STATE_WIDE,20201113,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,154038.0,2504.0,43.52,50.56,48.72,Colorado
2808,US_CO,STATE_WIDE,20201114,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,159234.0,2525.0,43.52,50.56,48.72,Colorado
2809,US_CO,STATE_WIDE,20201115,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,163417.0,2546.0,43.52,50.56,48.72,Colorado
2810,US_CO,STATE_WIDE,20201116,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,167713.0,2578.0,43.52,50.56,48.72,Colorado
2811,US_CO,STATE_WIDE,20201117,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,172044.0,2608.0,43.52,50.56,48.72,Colorado
2812,US_CO,STATE_WIDE,20201118,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,176694.0,2651.0,43.52,50.56,48.72,Colorado
2813,US_CO,STATE_WIDE,20201119,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,182801.0,2730.0,43.52,50.56,48.72,Colorado
2814,US_CO,STATE_WIDE,20201120,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,188566.0,2745.0,43.52,50.56,48.72,Colorado
2815,US_CO,STATE_WIDE,20201121,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,194679.0,2787.0,43.52,50.56,48.72,Colorado
2816,US_CO,STATE_WIDE,20201122,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,198600.0,2806.0,43.52,50.56,48.72,Colorado
2817,US_CO,STATE_WIDE,20201123,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,202289.0,2810.0,43.52,50.56,48.72,Colorado
2818,US_CO,STATE_WIDE,20201124,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,206439.0,2860.0,43.52,50.56,48.72,Colorado
2819,US_CO,STATE_WIDE,20201125,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,210630.0,2906.0,43.52,50.56,48.72,Colorado
